years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1920,1411.0548,977.2830484,1276.169862,546.1766367,1509.707746,1176.424909,1227.995289,926.9498221,1011.201261,1184.041361,468.5949265,1914.828747,1491.832658,1039.350622,1359.334184,693.9136971
1921,1698.91982,812.3106367,1341.050282,706.4456553,1562.17466,1351.187086,1042.33294,532.8970084,1206.156144,1336.797831,296.6729673,1713.765108,1476.932811,1440.486865,1182.677343,880.8149453
1922,1302.952155,775.345596,1487.282832,796.948839,1934.261495,1414.844391,1102.847532,891.5543387,1176.776173,1297.915993,429.7175085,1988.691487,1441.258744,1680.169996,1656.513905,995.9233207
1923,1191.101737,877.5184053,1207.955331,1019.357373,1892.144957,1503.497773,1056.069886,1136.998469,1084.347312,1322.077969,320.7544658,1908.903909,1412.048259,1019.203164,1211.81245,596.7690274
1924,1450.922219,820.3365137,1560.810618,545.0378958,1532.932042,1312.381481,897.1851981,606.5095995,1197.473992,1034.974564,280.3702116,1981.264075,1469.017664,1316.475541,1088.22704,924.9544272
1925,1205.294305,1010.823098,1280.713907,733.5420903,1415.303868,1163.869931,823.7339249,711.4695513,1267.324519,1151.556238,343.8516639,1888.037611,1659.887859,1215.568864,1284.788031,796.7209763
1926,1386.918917,765.4920461,1218.936894,750.7932053,1350.391943,1211.909684,1031.868265,548.9740243,1157.971816,1302.857068,474.0606752,1918.670832,1458.959211,797.9409976,1002.181596,914.0498827
1927,1249.949359,773.9188528,1165.331354,856.3356101,1824.935754,1151.160778,799.7694725,967.0475042,1153.19695,1297.972772,447.8925768,1639.606163,1510.402205,1415.332845,1096.066935,989.3081338
1928,1282.353494,842.0741935,1079.090029,804.7910931,1223.771603,1264.650313,911.8981932,681.8374895,1228.593267,1454.19362,260.7520322,1654.096842,1539.998475,1385.826769,1008.60955,1047.49423
1929,1045.984997,758.893738,1223.824201,612.9400322,1311.257795,1388.051957,805.9367002,1329.319626,1083.472526,903.3218256,412.5892839,2111.035049,1420.788839,1068.066698,1339.892506,814.9779251
