years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1931,1.538594776,0.217446237,-0.697200233,-0.093423577,-0.191637694,-0.8913952,-0.952560299,-0.625775793,0.674536144,-1.633679417,0.70415249,-1.054952363,2.049464235,-0.804983073,-0.388600959,0.333304485
1932,0.272211681,-1.133474607,-1.016457303,0.697398534,-0.594950239,-1.709203016,0.122959317,0.162984753,1.888674168,-0.435558722,-0.942924031,-0.582695753,0.814611114,-1.530922044,2.797051181,1.991673061
1933,0.266678835,-0.231420651,-0.329674888,1.238356221,-0.298785882,-0.129919469,1.429086716,0.567413507,-1.001623926,-1.078339156,-1.712082081,-0.611349944,0.429319353,-2.014462938,-0.539652005,0.928067339
1934,-1.223220657,-0.605146171,-0.663517226,-0.181113172,0.320467463,-0.129091445,-0.896758679,-0.840704456,-1.075228664,-0.245071433,-0.973098642,0.109590054,-1.11118026,-0.11864654,-0.969846267,1.874449619
1935,0.30522009,-0.625969685,1.272072707,0.505684256,2.331244421,-0.166707783,-0.624382182,-1.191766263,0.475965128,0.139770498,-0.723063862,-0.698166155,-0.945132156,0.289070908,0.078691874,1.29109934
1936,-0.595510988,-0.885953449,-0.06693126,0.259768237,1.158960184,0.587141026,-0.185853348,-1.367077172,1.514472053,0.221235087,-0.221891479,2.541697457,-0.812308368,1.531823677,0.177294276,-1.319945227
1937,1.211104636,-0.094379142,1.002272524,-0.357959674,0.603909354,1.879127958,-0.809308512,-1.487407041,-0.011072793,-0.097722489,-0.26832675,0.386554298,0.064913839,0.580263366,0.28424705,-0.431181332
1938,-0.12150547,1.914067138,-0.40644596,1.349629047,1.181251406,0.794205806,-0.782418329,-0.648083767,-1.322165595,1.603136317,2.184965357,0.588248486,0.823740097,-0.332075287,-0.524720626,-1.046834364
1939,1.09739902,0.761281362,-1.21502609,-0.50330163,-0.351320208,-0.733540745,-0.116340851,-0.574463076,-0.136613251,-0.31899542,0.445455751,0.741039517,0.439875967,0.006924478,0.555190473,-0.301296508
1940,0.561760921,0.072350713,-0.6482136,0.972686948,0.464619459,0.907866075,-0.735739211,0.684629085,-0.312492607,0.024379386,0.02982738,0.527164013,0.813323995,0.153110348,0.366963961,-0.740952579
1941,-1.308371395,-0.475295528,-0.61648666,1.755704072,0.533943571,0.074337607,-0.84619467,1.155013702,-0.397557771,-0.406535111,-0.081609281,-1.097999277,0.484441264,-1.549193551,-0.352585193,-0.570528709
1942,0.045905468,-0.041310542,-0.081323243,0.181939533,-0.404659389,1.097780424,-1.089617591,-0.097741741,-0.88958724,-0.48979318,0.221739251,-0.334278587,-0.485724208,0.243753792,-1.123844848,0.639300635
1943,-0.950894543,-0.619642316,-1.033241105,-0.116516478,-0.232774996,0.565102982,0.490412201,-0.657598623,-2.054517111,-0.143452112,-0.829944891,-0.002780269,-0.617712476,0.495285579,-1.17793139,1.297002394
