years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1941,605.3177648489509,553.0619003246102,677.4285803257953,536.9725639760873,235.82448612960434,1211.1212245974457,139.44971446761656,209.79387402006182,451.1887272981767,529.1714972103364,373.93858534464925,1322.5429185549729,902.9553137763287,1029.6671533200424,2036.1679121037014,630.5861346459096
1942,476.9835372453599,377.97195648124955,1228.629380514758,473.8153615624469,150.4296984748862,1121.5954660794523,290.0462547444704,275.6572559286724,618.7565858708695,522.4799630021153,554.8043169939774,1493.1448096540407,1200.8366705820663,1212.6025072480843,2004.7350719949463,654.378736133367
1943,366.3134862465995,286.6541082553809,839.2986893712077,496.27161654886936,149.99777169996378,765.2986158092972,171.19445070516122,211.8361911365355,533.5922724218108,418.96835807892785,496.62711982507517,1634.0718034829479,881.5102488400953,766.4253596129129,1486.0763196309563,759.474234458321
1944,415.94863652589993,506.3689700782561,1097.1465488313697,610.2249428825985,282.19021129825705,571.2041601203837,159.14562263301377,140.11519884160464,470.2621233285754,660.1378513974851,412.77306547876833,1536.342247982975,854.073507116118,1112.803952494869,2102.754425353487,888.0850472283555
1945,609.7165950657654,508.9236949068436,1298.3898583581322,419.8104988844534,287.29284882556385,745.618068985641,162.6926971120156,65.32305308132322,630.0643789596506,487.18598412715437,458.46514244403807,1419.4258015137166,1148.5289811826078,1321.9020953925792,1537.439454300329,844.6476729876167
1946,408.0199684809486,487.04355258746546,969.5491064536327,517.4154789419845,158.1294231003767,760.1647641625732,348.9138515794366,458.12719073703505,443.82270275328466,258.3986321582415,361.26705859114736,1083.8343486073427,936.9984974575345,982.3283617031848,1633.133348316187,517.6576303712864
1947,545.4767823975999,474.81201480895834,1262.7000994747505,410.3040443606005,175.7635475612915,709.4409978780732,219.04948280766803,457.8758292073644,590.354236942585,413.4929627650763,707.54325211783,1466.4429719327018,1029.4790813193686,1004.7174529019685,1644.5918352023,500.0830259588838
1948,569.224053265134,334.85756320283144,895.6187516894715,488.5351857321254,218.64573935072258,1017.5346690084552,131.874531243011,182.1358608830306,546.7697182791198,455.0469062719458,485.222343847272,1606.0209208808374,1369.6887316145876,1483.9700379638089,2208.8745332912367,630.4919983346963
1949,492.0492046418076,476.7984986733495,1245.8582004263008,391.7017144916912,191.57637765583786,1340.5536065460183,291.0699208592888,237.88508981869896,573.0249111120884,346.35994466170814,483.41719456179817,1595.31409292249,1644.077959054266,1168.9000929967733,1891.2857523362618,442.5708898360881
1950,403.88181349153456,292.8800782754024,864.8655308697926,539.4649572785966,117.95690599246882,1612.9155825823545,148.97939221664274,269.9495605175571,578.1483093319139,708.9794735293253,476.5415303419104,1147.5359393953113,1316.361623108969,960.7251710520359,2166.155757510569,609.8536712544501
1951,507.0900657810853,383.15559456800656,1033.3519379444624,527.5259566951718,166.46253111939586,721.6757550588227,167.83050069798264,50.620908375327645,857.8945881949039,516.318111372857,514.3551060933532,1324.4041679834481,1293.353793566348,1226.213778537931,2138.2576784701087,545.3222728058421
1952,274.942658441978,326.95387772785125,1180.0036828863085,569.2160160479318,247.51509030256784,894.0357238133402,261.1158229230341,316.1488666866944,520.6454706270961,386.31886619295983,679.8607970441026,1452.2916549816728,1015.1086915386259,965.2572254577535,1841.1982793128118,704.1301273096906
1953,326.3016276410781,291.75132282055074,924.0831558970967,550.0758663607485,263.1449003732996,608.2985604753048,400.2360290767683,260.45402187113496,581.2246882782915,465.3919299995323,345.4832761694888,1381.730410741875,1037.3224646798917,1272.9499764172942,1824.3559398804791,307.80627966341854
1954,343.13714740965224,494.36711738380836,1132.2687861225859,656.9254636538972,289.5325066179339,829.6479261387049,312.6307954918957,234.05649627488856,751.1301256352453,551.0801117354276,497.7419627310155,1414.524405512202,914.1655470521073,813.9696531152822,1800.9681697469205,747.7682795215742
1955,449.7436444158666,386.073798435973,998.1599167123932,459.668840821527,123.13203516487192,1268.0755063629476,340.0565259858013,360.8062366548893,652.750425497652,509.0536184451139,473.9696166208887,1104.388910002308,726.071941479313,1048.8881335419137,1533.5838694969425,869.3921934798027
1956,228.41549250915705,444.4704953413293,997.1335043388535,456.3047586852008,216.2280448223555,842.2018336321344,175.71265211236096,223.31967886316306,508.43737248816865,359.31347057630774,323.09327509582886,1129.5841684303014,1081.9478179379075,1105.6273608701304,1620.8507968462072,576.9632060512777
1957,444.54595940451327,334.3611543629862,1424.0284979576245,413.52369164596894,422.93638110222673,660.137566472531,317.17597753940936,300.89385839814895,716.6581944309293,452.1786971588881,466.46631271173646,1196.7501322593307,1204.0687679305847,1226.148419023957,1646.2522594432812,648.4973196278588
1958,603.3694077113978,619.6200263613036,1005.9754505709861,689.2117062878242,125.34768189016177,1411.15995409491,178.9236637739549,84.39458624116014,660.8298186001775,512.5381429152185,475.98530612522154,1407.7659148606472,1191.2537825775871,1038.2057170383632,1752.2738428175217,888.1780248380437
1959,330.37947841585265,245.585554623608,1223.2265880040359,452.2858947428176,334.64311084935616,979.7510162856753,289.1219841109887,192.64248533863793,642.0984979704372,286.8392430142194,476.68017701889767,1235.5095692299074,1027.0209952439473,1047.9408226849046,2051.576700923033,597.2162260281038
1960,337.8608722556237,547.5955150432355,1156.8020154441,520.4746595168672,203.1047141956151,859.2806019264177,252.64045649462332,292.6823485443947,585.6908106830815,688.1798975173297,515.163775692848,1434.475888358429,893.8657398164651,1090.7953634712612,2110.5451582639944,583.5849380020591
1961,653.979986777631,523.0253389840072,1226.965199917322,452.53734415673534,130.748371433765,526.924521440651,177.30968673313328,271.29095858990695,1557.3315159097547,521.5106385498075,507.7776674811048,1513.6557531834114,1143.4094076859765,944.8552297813876,1477.7519656112418,548.0359627266807
