years,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15
2102,-1.722325272,1.506468621,2.320179729,1.138832559,0.769448012,-2.243924899,-1.942813204,-0.4411728,-1.00417612,2.187283324,-1.36191678,1.089544553,0.443646307,1.74192728,2.60003427,-1.935995111
2103,0.230401011,2.386844991,0.699677296,1.619869564,0.024649755,-1.596957613,1.261057492,0.874338238,-1.308757844,-2.081457928,-0.695976837,2.196547542,-1.414776017,2.035401211,0.825931564,-0.290700052
2104,0.857784468,2.281335836,-0.486762719,1.231690052,1.444865058,0.221450043,-0.64140411,-0.433017675,0.904534521,-0.362114887,-2.712739845,-0.009664249,-0.141389942,2.789076685,-1.08146112,-0.188622733
2105,0.221083671,2.69647705,-0.201692473,0.939132584,1.07586588,0.455880389,-0.062459939,0.820785526,0.977395947,-1.160476494,-3.849901854,0.58804432,1.019071182,2.475944045,0.02734951,0.027092868
2106,-1.613510263,1.169063395,2.740618169,0.958630132,-0.35946865,0.323331146,-0.194903816,0.916554313,1.328208422,0.327714919,-0.177057231,2.078465581,2.21283989,2.578676884,0.285028974,1.138670622
2107,-0.002883312,2.164857481,1.44693892,-0.501143486,0.25791658,0.379164803,-1.012571298,-0.119652555,0.145876527,0.863393325,-0.333058776,1.734016114,1.978278594,1.706688192,2.778214132,-1.525943222
2108,0.812350138,1.466947127,0.999982744,-0.33123252,0.495150329,0.466424645,-0.531703794,-0.870908867,0.212326485,0.028245257,-0.509274448,0.826927851,-0.160685876,2.445190537,1.232887955,0.69104142
2109,-1.187956797,1.090959638,0.285505762,0.897452153,1.145070722,1.247792536,1.802061013,-0.060040367,0.169564699,-1.487746529,-2.602629996,1.632280308,0.457544822,2.500243712,-1.205407834,-0.514491948
2110,0.060196413,3.024332408,1.409213296,1.419199065,-1.275200355,-1.604468435,-0.840351212,1.283569192,-0.472400494,-0.859192161,-1.332553895,1.251532964,-0.051712323,2.610310955,-0.771323865,0.052004228
2111,1.581610525,3.11569695,1.16613657,-2.044996203,1.731266494,-0.714703136,0.491161244,1.354657664,-0.241843519,-0.793181643,-0.50161109,-0.604666554,1.12336659,2.220606428,2.474419561,-0.301642785
2112,0.005273251,1.153662984,-0.820723421,-2.544675264,1.160306603,-1.030377492,0.067130736,-0.171288131,-0.684790538,-2.070431908,-1.333121145,0.949427108,-1.287018452,2.455735836,-0.346234448,0.153841565
2113,2.577694629,0.887720459,0.678943101,0.708136235,1.747608507,0.471169845,0.155676269,0.896753078,-0.453729489,-1.628782364,-2.295207036,0.689477368,-0.03582034,3.358513393,-0.824300263,0.901000509
2114,0.264695456,1.318960783,1.969127845,-1.300528441,-0.349203942,-2.181347266,2.256025453,1.522773236,-1.014119217,-0.098267544,-0.497067105,0.045173789,1.737716659,2.594955975,1.132215248,-0.709393276
2115,-0.397857455,2.331576603,1.058281013,-0.227922839,2.207296501,-1.534362697,-0.612398469,-0.257644846,0.460331119,-0.818149123,0.028884595,0.123890958,1.458481658,1.223100851,1.946381685,0.432034126
2116,1.265448578,0.900905456,-1.404326103,0.521211901,0.657391762,0.576137241,1.49567115,0.135157779,-0.441590981,-0.685072998,-2.296308885,0.784020539,1.055207862,2.208349294,0.211164194,-2.331912828
2117,-0.194381852,2.757182534,0.591041837,1.124433587,0.417455401,1.08012818,0.868332773,0.943802653,0.057263425,1.190830205,-1.888230243,1.475713183,2.008612739,1.714019357,0.568444909,-0.858313063
2118,-0.375505288,1.893555844,2.297017178,0.218324272,1.221491174,0.62930889,0.015766038,-1.511606231,-0.111237231,-2.184143164,1.066542928,-0.379835173,-0.229080628,1.357546467,0.749824739,-0.238854588
